gen,eval,loss,eta_base,lambda_pull,alpha_aniso,mu_responsiveness,k_pref,r_pref,rho_temporal,polarization_mean,turning_angle_std,nnd_median
0,1,1.9898634925138752,1.2548167018257077,0.37764784332912993,0.39436414047438045,0.35686150937429006,0.47116052978542455,1.73489779061207,0.8565284432585245,0.9650986039194889,0.1324524097378891,2.3900301825809525
0,2,1.390013046333415,0.5868620677493712,0.5638082749831848,0.4501252124126417,0.8131850682877053,0.061572059989767024,3.080748470998892,0.45202654524624136,0.9877833891808981,0.15101656749058084,3.349665266842842
0,3,1.2640693451213312,1.1174554438539226,0.2800201752583431,0.4655138658343724,0.39198209871254774,0.3559100933975821,3.6963284996632755,0.3158733939527667,0.9795408715431705,0.13926667823043593,4.0450277558440195
0,4,0.5862576452957726,1.120522638755092,0.6803194321099028,0.6005003034887398,0.7121575456349136,0.2542753647650861,3.216431662117119,0.34719618749067055,0.9663390171926342,0.2533620245959426,3.419655990903702
0,5,1.8996969597917222,0.7249913377047155,0.6060718510010099,0.36166587346724627,0.4785828348144954,0.25379307325318823,2.725239636991601,0.39745776916252595,0.9902702380229341,0.09853972886432276,3.103661255077788
0,6,0.3314991606438314,0.7964539123027077,0.27653633410960293,0.546883809327339,0.8487707940424828,0.4538891506998722,3.1695471654474927,0.3563432688331463,0.966519808228656,0.277818874652567,3.6223178242297713
0,7,2.1139172628960985,0.5907956777497654,0.8384933380064716,0.5101616961212564,0.4353383266079832,0.3767289315262935,4.728224499912621,0.5478311794296608,0.9937675514572613,0.0867413641408919,4.92459586948529
0,8,1.7083292342063743,0.9728168707180772,0.5600344928074398,0.42954902426597463,0.34434231745289146,0.3010906214713448,3.1579468480688906,0.6364631832158213,0.9842507327829516,0.093005589942191,3.539922005728073
0,9,0.5991829591216684,1.0349153558848614,0.6862217464112924,0.5571182810204666,0.7093288237212305,0.24438127062559573,4.151980772900034,0.6224608426831759,0.9672851755917359,0.245903302552619,4.284050249073095
0,10,0.8756245489295773,0.7165340061712396,0.5977043271930583,0.4848854414750665,0.7536976546442321,0.562780433653221,4.786244355650259,0.25965432454341564,0.9769051784741517,0.2788557779762451,5.183532026780317
0,11,2.2783955150887305,0.3956481344797149,0.39910610674261743,0.532007871141602,0.7077137853458255,0.3941901551716501,1.9248540617617371,0.4668187441716477,0.9899773152159387,0.09814739911216501,2.3713626829792878
