gen,eval,loss,eta_base,lambda_pull,alpha_aniso,mu_responsiveness,k_pref,r_pref,polarization_mean,turning_angle_std,nnd_median
0,1,1.0800075483011742,1.2548167018257077,0.3776476976717139,0.3943638889601298,0.35686081959273463,0.4711611067417021,1.7348884744997635,0.9604722336892152,0.13287751514110044,2.376409556691587
0,2,0.6777355686445977,1.2885472939806144,0.3477573511375251,0.5638088826839355,0.5051122102333493,0.55470193447039,1.8990459456720872,0.9400240898585377,0.2265490147665387,2.5240848951853847
0,3,1.1204974947004425,0.7097231828762178,0.4231884889730587,0.7267576677300557,0.3520146223109022,0.3258592462645592,2.7030314026401054,0.9865666070234373,0.07469301407370849,3.1634238887268267
0,4,0.33122307731378464,0.811819849080366,0.6165640141059013,0.2798724957962521,0.7560554190922161,0.47622690837647863,3.641710388089488,0.9652202762165419,0.2465616367988658,4.075542649024482
0,5,0.7511081629262215,1.0522396657940354,0.3632532886139533,0.47542154525877167,0.38155729081827594,0.3124944186871502,3.660656744433252,0.9760607646120818,0.12618997369855683,3.9608132594767214
0,6,0.996949541172059,0.6063349895169133,0.42064863337017117,0.3625631693813248,0.39785918105730056,0.2560224091486928,3.291387713897369,0.991044868584939,0.0728642275480332,3.6914624342993756
0,7,0.953962568752581,0.48715310238212217,0.5468835302578761,0.8319659681420036,0.6835712881443834,0.3231421274218755,2.696387154411041,0.9785156284789173,0.12774600548331483,3.025186901409042
0,8,1.1277293143344957,0.5907956777497654,0.8384937409749709,0.5101617203157998,0.43533791710127556,0.3767290588072228,4.72823300127423,0.9924801535867884,0.09440547255292013,4.900686615737099
0,9,0.9200202169747302,0.833644506694856,0.6234416506176195,0.5600350645672367,0.48659344248704317,0.19004212043644608,3.0624370505092293,0.980260510920014,0.11658148497181557,3.323088826418954
0,10,0.4956274881657323,0.741509614655062,0.617325615945832,0.6677994794095857,0.7176025646463812,0.38998355829866,3.901921071226236,0.9656787240367513,0.21253854630451077,4.233493292396458
0,11,0.9238489556963718,0.5887685765209372,0.75057571916895,0.602587673863918,0.4963419482469854,0.4183948203045964,3.2486090939025374,0.9872962345973978,0.09505885576634247,3.645180620163355
0,12,1.0912337639777674,1.1168562284863994,0.8039658963230215,0.9371223666186982,0.2986243753000719,0.1478173279297776,2.956948919699184,0.9727038366018019,0.0826497684900859,3.0992705267148573
0,13,1.1337022030004051,0.8448103794453925,0.6752352445108647,0.5631280415735795,0.18599468113245848,0.30713000925615286,3.86304621674321,0.9943663242787159,0.04107891061174647,4.1628049702360315
0,14,0.6732423464772408,0.8644265259020273,0.6524035060863305,0.4555336303779436,0.5138626441699976,0.37611946537269486,3.5788467384736666,0.9785300819898893,0.14485991089063147,3.909293496767699
0,15,0.606640348851356,0.8555239216354954,0.5238019275100612,0.36586530718261,0.617963180596042,0.36705554644754085,4.068081060090881,0.9722858783476633,0.1934949140662697,4.365671369518784
0,16,0.6615605046625194,1.135697006372422,0.5370315920921037,0.42494175902171893,0.43502565233547763,0.40929118590890023,3.35259343782461,0.9677601123209774,0.1551107257852522,3.7264393846403165
0,17,0.7091677882075454,0.7037209708400988,0.5087194440285802,0.37599776452367195,0.6756489073164174,0.28739991429521416,4.132699934375519,0.9809352203007672,0.17161161406431044,4.41506183969376
0,18,0.7611257638102551,0.9129776597014239,0.6187166939490742,0.28101398111522474,0.5804896001810369,0.453681359141183,2.6514565686905973,0.9679094678910796,0.17118977554005668,3.1127450895731337
0,19,0.819289285658148,0.7254588183189857,0.5065229636964761,0.22537195885477232,0.6067301088026046,0.46846643947740657,2.715504806775232,0.9790169129543903,0.15075903497677384,3.227250583976006
0,20,0.9316755346336655,0.89815287402595,0.23754113060438184,0.49226076916068406,0.2591537050869228,0.5070037125228537,3.578063951553653,0.9853578959085769,0.08176362879383231,3.9929649840437955
1,21,0.948952296773546,0.29018787440208116,0.8120126527561495,0.11331406155392951,0.7007040034737441,0.574875381615693,3.3780548861136177,0.9966527661519115,0.07928732992176116,3.971645788461442
1,22,0.29030655804169975,0.8891302711603213,0.47241507498920693,0.30155317717531654,0.8314015981379819,0.22284661822099755,3.1551492157229433,0.9564432649831428,0.2711922307283715,3.4806393158313824
1,23,0.7622469616361777,0.8131775518987654,0.5356139754423108,0.7516733737299399,0.4490519025502816,0.3881537695938738,3.67371397573129,0.9773746966463831,0.1264224949923884,4.001215315704329
1,24,0.6365559399936944,1.0513526313424577,0.5092002478664985,0.41982939696198596,0.8044101862588673,0.46589717168500827,3.9538632944376912,0.927745721730588,0.3833529892821227,4.343211598087903
1,25,0.2548996388421047,0.8394742135842663,0.6103042855446409,0.3779841741545153,0.7943021983408117,0.4497133987395282,3.7845538696424996,0.9597987450689816,0.2788436791433944,4.179287060305572
1,26,1.2694408254136536,0.22766307900009428,0.43464084375695966,0.19227453647183537,0.6119169192731118,0.4382364369549337,4.750568044872268,0.9975574513288862,0.06690097172615221,5.040300006336804
1,27,0.8086155282308025,0.9637133218129301,0.4431983302105511,0.5017451892331685,0.44238711634335015,0.3950879618561657,3.045199200057292,0.9708871828349082,0.1379500212434403,3.410860362385555
1,28,0.36331766973600504,0.897131152960089,0.4522264632400527,0.5058582835979507,0.6906912623584471,0.4839032338371466,4.0815174949547615,0.9552759785357795,0.2644626373509748,4.500216007958169
1,29,1.0935808965680374,0.8821367974710782,0.07094258961721245,0.2772618136622652,0.9110766025494774,0.32533049922447976,4.892017583155114,0.938624262448515,0.45030058781068705,5.12643728439978
1,30,0.5836288035931879,0.7246427868196266,0.42148078796957433,0.6051667066384442,0.613621601141405,0.5145703455071368,3.818027904312458,0.9684885727087502,0.1932525008812001,4.2907049067599345
1,31,0.9133956195223119,0.5106503324421499,0.7201473241697942,0.5228009884260632,0.5646007137580807,0.3261753938044675,3.8566881254276058,0.9908074724598933,0.10010397534954185,4.154608367982297
1,32,0.4891473973000718,0.9625711233196076,0.4854332224315322,0.5373852264639837,0.7827863191974097,0.46132473234033816,4.025584823751022,0.9428657308784215,0.3297835408940647,4.4531328940905235
1,33,0.9629466540409937,1.2103931411071505,0.3846606597490318,0.6434667795424946,0.8406340649252145,0.5702255237534729,2.9839949763256493,0.872817123144167,0.5002772405598973,3.5604702477640964
1,34,0.5702973742325221,0.9828507103291383,0.8585488836016355,0.26722533536414705,0.9387471408270004,0.499331374443533,3.4041663796574735,0.9347474827974922,0.39160204253958764,3.850344003152133
1,35,0.659221400635534,1.3117368848655742,0.7754408844693351,0.03377968909021428,0.403852653390525,0.5387931884301199,4.018065623787062,0.9627824742114107,0.17418477196979032,4.343138460687946
1,36,0.7741473435088487,0.7527535218464171,0.5787893840705476,0.24440677838431216,0.4680133072511239,0.6623471001298843,3.3908290687449423,0.9828079446252268,0.1242338879833735,3.9908657768928535
1,37,0.6111994313599027,0.7548647983787945,0.38852779756009503,0.5705710259366369,0.789716027677582,0.5702809241024308,4.400304423199411,0.9556688461443474,0.3274883670972286,4.899841820011141
1,38,0.47182222925916856,0.608423059207538,0.6074954722788586,0.14287950206543357,0.9269846168529742,0.18628281275157216,3.384019959404898,0.9780416087493025,0.21320764342381976,3.694465111153586
1,39,0.6264841494825852,0.9753707056439553,0.7457105527572295,0.37407480535493054,0.7151140536982034,0.577235029636429,4.467184788220758,0.9523285072202228,0.33225415443798934,4.907989654206784
1,40,0.6678448833686184,1.1094448807719246,0.6396728826838649,0.03320146615236941,0.47031677909687086,0.4698433711667042,3.174727167508643,0.9687918937990787,0.1640304716621845,3.5810614725175087
2,41,0.7571165084906559,0.8794470686432186,0.6622749816180467,0.22687245120026348,0.5796461972748428,0.2920362291184857,3.08587103399621,0.9777204175109713,0.15511030858514274,3.4017559807634514
2,42,0.5110667502875509,0.8367709231185756,0.76868754312743,0.301218485734618,0.8284691154557603,0.49235379415491887,2.4185230955081485,0.9584152808782302,0.25081155340728384,2.9180576527874535
2,43,1.15812311847542,0.5382550458689085,0.5358993696667059,0.1385492514799474,0.4270845387872928,0.6999924942489509,4.6832964377329755,0.9909346684867508,0.09967784819621506,5.100717801422
