gen,eval,loss,eta_base,lambda_pull,alpha_aniso,mu_responsiveness,k_pref,r_pref,polarization_mean,turning_angle_std,nnd_median
0,1,1.995959210668277,1.3685208772821347,0.34705962208964236,0.36795486120016224,0.30857602449091825,0.5014513834271275,1.8223894068752957,0.96683980447194,0.12473458577488078,2.491160578543737
0,2,1.1469010803166562,1.410684117475768,0.3096966889219064,0.5797611033549194,0.4938902627916867,0.6058774180879875,1.6171925679098913,0.9111653113105646,0.2439596745884175,2.329950187243746
0,3,2.1830115079011927,0.6871539785952724,0.40398561121632337,0.7834470846625696,0.30251827788862773,0.31982405783069895,2.5537892533001316,0.9857069951253927,0.061620660454479656,3.0620981988990073
0,4,0.3398270043638255,0.8147748113504574,0.6457050176323766,0.22484061974531516,0.8075692738652701,0.5077836354705983,3.72713798511186,0.9628886186991064,0.2768665014967783,4.201949469556769
0,5,1.4325711481170802,1.1152995822425442,0.3290666107674416,0.46927693157346456,0.339446613522845,0.3031180233589377,3.750820930541565,0.9755046749079854,0.11666643436420376,4.063824158722111
0,6,1.9054022570374314,0.5579187368961418,0.40081079171271405,0.328203961726656,0.35982397632162566,0.23252801143586596,3.289234642371711,0.9940466244996135,0.05982591114948308,3.6475857857082032
0,7,1.8493135722724752,0.40894137797765273,0.558604412822345,0.9149574601775047,0.7169641101804791,0.3164276592773444,2.545483943013801,0.9813643177074183,0.12047176769976073,2.871228504391574
0,8,2.252926672199223,0.5384945971872068,0.9231171762187136,0.5127021503947496,0.40667239637659436,0.3834113235090285,4.989447688151888,0.9947476698320605,0.08281440158135352,5.137459871881362
1,9,1.0348565728745842,1.1276903726092202,0.3918560451657366,0.42838486923991026,0.4092247149115126,0.49433294457668664,3.4966967750830897,0.9667051368495574,0.15820595301821538,3.8895109751928207
1,10,1.0665356069569123,1.1699012138818792,0.7218431615314336,0.25099077306667467,0.5612760251063399,0.5803944285971874,2.3344214114734765,0.9475581323231964,0.2196077635100665,2.916297781277411
1,11,1.8987208506671405,0.7615513241461974,0.48874541650560765,0.36170352558398283,0.44048547776406366,0.5354769064597267,2.347673315700059,0.9772189215138009,0.1161972327062756,2.825504799759959
1,12,2.1617903871536024,0.9294654587193879,0.4225535468014924,0.10236502475960077,0.12889124045489203,0.5411533315330925,4.234586068668676,0.990913604927395,0.045054812317124354,4.436567020516028
1,13,1.2310743577484764,0.7550012477660195,0.2554152831868586,0.2698648364355994,0.4760728816791462,0.6950855584138649,3.48262239772437,0.9775769735054687,0.14578160157651834,4.077360616846363
1,14,0.7783878728425488,0.9017777246547366,0.5550798950232997,0.45210395939905856,0.5862442171345317,0.6178385304595565,3.0029791387729667,0.9591097206169306,0.21263298224602148,3.6029914583680247
1,15,1.2390128379435004,1.1422891598131233,0.6049172523462348,0.47572983264116997,0.7613228283405911,0.6709211157704609,2.860126876873387,0.926477920179728,0.39791687562477995,3.4547364164866536
1,16,0.5558843361494015,0.7543723182000638,0.5792358176096143,0.42500663005168526,0.6909981775712121,0.5873109844513855,3.756745778074595,0.9639959746110525,0.25115898237483436,4.281712875866495
2,17,0.773607072336044,0.7368569086671731,0.7294402822714042,0.2976707951257519,0.6247007528915834,0.6993095115887359,3.1585876108743447,0.972591569628478,0.20263625643504196,3.7853203974554823
2,18,1.0004391801511012,1.0189664369937095,0.6757769200404983,0.666040477182406,0.5514578569354204,0.48228612204869836,2.9534172579050324,0.953301426647536,0.20154951846349684,3.313307304653789
2,19,1.336782249867238,1.0060025383620375,0.7553748859303789,0.61856056279746,0.43976452544123523,0.5019924153068199,3.181300283391759,0.9713281852128226,0.1359932440892585,3.6261039718181323
2,20,1.2674515593889701,1.262553960254016,0.4494602152970647,0.5606636048052624,0.5666502490672245,0.6896195292707791,4.496387295653067,0.9263767048726397,0.3573797872764371,4.958638503610157
2,21,1.0244404686690336,0.4473925764623269,0.7020473563625532,0.09273404346399876,0.8562717383641228,0.6122071295360324,3.56547067533658,0.9875203602965178,0.18203615133644896,4.162905866229569
2,22,0.4586945736793541,0.8794051485211117,0.8293006691058757,0.6199764869175458,0.7994960903521641,0.49017253394377536,2.9849085379186384,0.9487001557496074,0.28298297602487554,3.405251389279508
2,23,1.380742571983958,0.8801122944941128,0.2854201249162052,0.4562184488087865,0.3976751363448937,0.44234706662451356,3.363248384623745,0.9791336703314645,0.12260100388266613,3.7479712743643896
2,24,0.7235451604710971,1.1847209960894285,0.5857909521171074,0.4444343981051314,0.6890113180841005,0.6788897622411337,3.320566120887739,0.9197524987374361,0.3562851333022021,3.9310969572048258
